Element,Ion_rad,BP,MP,Density,At_wt,Cov_rad,Ion_Energy,Elec_Aff,At_vol,Thermal_expn,Sp_heat_cap,Therm_cond,Elec_cond,Heat_fusion,Heat_vap,Electronegativity,At_num,Period,Group,Ox_state
Li,0.76,1615.00,453.70,0.53,6.94,1.23,520.20,59.80,13.10,46.00,3.58,84.70,11.70,3.00,147.10,0.98,3,2,1,1
Na,1.02,1156.00,371.00,0.97,22.99,1.54,495.80,52.70,23.70,71.00,1.23,141.00,20.10,2.60,98.01,0.93,11,3,1,1
K,1.51,1033.00,336.80,0.86,39.10,2.03,418.80,48.36,45.46,82.00,0.76,102.50,16.40,2.33,76.90,0.82,19,4,1,1
Rb,1.61,961.00,312.63,1.53,85.47,2.16,403.00,46.89,55.90,91.00,0.36,58.20,47.80,2.34,69.20,0.82,37,5,1,1
Cs,1.74,944.00,301.54,1.87,132.91,2.35,375.70,45.49,71.07,100.00,0.24,35.90,5.30,2.09,67.74,0.79,55,6,1,1
Be,0.45,3243.00,1560.00,1.85,9.01,0.90,899.40,-240.00,5.00,11.30,1.82,200.00,25.00,11.71,297.00,1.57,4,2,2,2
Mg,0.72,1380.00,922.00,1.74,24.30,1.36,737.70,-230.00,13.97,24.80,1.02,156.00,22.40,8.95,127.60,1.31,12,3,2,2
Ca,1.00,1757.00,1112.00,1.55,40.08,1.74,589.80,-156.00,25.90,22.30,0.65,200.00,31.30,8.53,154.67,1.00,20,4,2,2
Sr,1.26,1655.00,1042.00,2.54,87.62,1.91,549.50,-168.00,33.70,22.50,0.30,3.53,5.00,8.20,136.90,0.95,38,5,2,2
Ba,1.42,2078.00,1002.00,3.59,137.33,1.98,502.90,-52.00,39.24,20.60,0.20,18.40,2.80,8.01,140.20,0.89,56,6,2,2
B,0.23,4275.00,2365.00,2.34,10.81,0.82,800.60,27.00,4.60,4.70,1.03,27.00,0.00,22.60,507.80,2.04,5,2,13,3
Al,0.54,2740.00,933.50,2.70,26.98,1.18,577.60,45.00,10.00,23.10,0.90,237.00,37.70,10.70,290.80,1.61,13,3,13,3
Ga,0.62,2478.00,302.92,5.91,69.72,1.26,578.80,29.00,11.80,19.70,0.37,40.60,1.80,5.59,256.06,1.81,31,4,13,3
In,0.80,2350.00,429.78,7.31,114.82,1.44,558.30,29.00,15.70,32.10,0.23,81.60,3.40,3.26,226.34,1.78,49,5,13,3
Tl,1.59,1746.00,577.00,11.85,204.38,1.48,589.30,30.00,17.20,29.90,0.13,46.10,5.60,4.27,162.09,2.04,81,6,13,1
C,0.16,5100.00,3825.00,2.26,12.01,0.77,1086.40,122.30,4.58,1.00,0.71,1.70,0.07,105.00,715.00,2.55,6,2,14,4
Si,0.26,2630.00,1683.00,2.33,28.09,1.11,786.40,133.60,12.10,2.60,0.70,148.00,0.00,50.20,359.00,1.90,14,3,14,4
Ge,0.53,3107.00,1211.50,5.32,72.61,1.22,762.10,120.00,13.60,5.70,0.32,59.90,0.00,31.80,334.30,2.01,32,4,14,4
Sn,0.71,2876.00,505.12,7.31,118.71,1.41,708.60,121.00,16.30,22.00,0.23,66.60,8.70,7.20,290.37,1.96,50,5,14,4
Pb,1.19,2023.00,600.65,11.35,207.20,1.47,715.50,110.00,18.17,28.80,0.13,35.30,4.80,4.77,177.90,2.33,82,6,14,2
N,1.71,77.34,63.15,1.25,14.01,0.75,1402.30,-7.00,17.30,240.00,1.04,0.03,0.00,0.36,2.79,3.04,7,2,15,3
P,0.17,553.00,317.30,1.82,30.97,1.06,1011.70,71.70,17.00,127.00,0.77,0.23,0.00,0.63,12.40,2.19,15,3,15,5
As,0.58,876.00,1090.00,5.78,74.92,1.20,947.00,77.00,13.10,15.40,0.33,50.00,3.80,27.70,32.40,2.16,33,4,15,3
Sb,0.76,1860.00,903.91,6.69,121.76,1.40,833.70,101.00,18.23,11.00,0.21,24.30,2.60,19.83,67.97,2.05,51,5,15,3
Bi,1.03,1837.00,544.59,9.75,208.98,1.46,703.30,110.00,21.30,13.40,0.12,7.87,0.90,11.00,179.00,2.02,83,6,15,3
O,1.40,90.19,54.80,1.43,16.00,0.73,1313.90,141.10,14.00,780.00,0.92,0.27,0.00,0.22,3.41,3.44,8,2,16,2
S,0.29,717.82,392.20,2.07,32.07,1.02,999.58,200.42,15.50,70.00,0.71,0.27,0.00,1.73,10.00,2.58,16,3,16,6
Se,0.50,958.00,494.00,4.79,78.96,1.16,940.90,194.96,16.45,45.00,0.32,2.04,8.00,5.54,26.32,2.55,34,4,16,4
Te,0.97,1261.00,722.72,6.24,127.60,1.36,869.20,190.15,20.50,18.80,0.20,2.35,0.00,17.49,50.63,2.10,52,5,16,4
F,1.33,85.00,53.55,1.70,19.00,0.72,1681.00,328.00,12.60,1800.00,0.82,0.03,12.00,0.26,3.27,3.98,9,2,17,1
Cl,1.81,239.18,172.17,3.21,35.45,0.99,1251.10,348.80,16.90,0.00,0.48,0.01,0.00,3.21,10.20,3.16,17,3,17,1
Br,1.96,331.85,265.95,3.12,79.90,1.14,1139.90,324.60,25.60,0.00,0.23,0.12,0.00,5.29,14.72,2.96,35,4,17,1
I,2.20,457.50,386.70,4.93,126.90,1.33,1008.40,295.30,25.74,87.00,0.14,0.45,0.00,7.76,20.90,2.66,53,5,17,1
Sc,0.75,3109.00,1814.00,2.99,44.96,1.44,631.00,18.10,15.00,10.00,0.57,15.80,1.50,16.11,304.80,1.36,21,4,3,3
Ti,0.61,3560.00,1935.00,4.54,47.88,1.32,658.00,20.00,10.64,8.60,0.52,21.90,2.60,18.60,425.20,1.54,22,4,4,4
V,0.54,3650.00,2163.00,6.11,50.94,1.22,650.00,50.00,8.78,8.40,0.49,30.70,4.00,22.80,446.70,1.63,23,4,5,5
Cr,0.62,2945.00,2130.00,7.19,52.00,1.18,652.80,64.00,7.23,4.90,0.45,93.70,7.90,20.00,339.50,1.66,24,4,6,3
Mn,0.67,2235.00,1518.00,7.44,54.94,1.17,717.40,0.00,7.39,21.70,0.48,7.82,0.50,14.64,219.74,1.55,25,4,7,4
Fe,0.55,3023.00,1808.00,7.87,55.85,1.17,759.30,24.00,7.10,11.80,0.45,80.20,11.20,13.80,349.50,1.83,26,4,8,3
Co,0.65,3143.00,1768.00,8.90,58.93,1.16,758.00,70.00,6.70,13.00,0.42,100.00,17.90,16.19,373.30,1.88,27,4,9,2
Ni,0.69,3005.00,1726.00,8.90,58.69,1.15,736.70,111.00,6.59,13.40,0.44,90.70,14.60,17.20,377.50,1.91,28,4,10,2
Cu,0.73,2840.00,1356.60,8.96,63.46,1.17,745.40,118.30,7.10,16.50,0.39,401.00,60.70,13.14,300.50,1.90,29,4,11,2
Zn,0.74,1180.00,692.73,7.13,65.39,1.25,906.40,0.00,9.20,30.20,0.39,116.00,16.90,7.38,115.30,1.65,30,4,12,2
Y,1.02,3611.00,1795.00,4.47,88.91,1.62,616.00,0.00,19.80,11.30,0.30,17.20,1.80,17.15,393.30,1.22,39,5,3,3
Zr,0.84,4682.00,2128.00,6.51,91.22,1.45,660.00,50.00,14.10,5.70,0.28,22.70,2.30,21.00,590.50,1.33,40,5,4,4
Nb,0.64,5015.00,2742.00,8.57,92.91,1.34,664.00,96.00,10.87,7.30,0.27,53.70,6.60,26.90,690.10,1.60,41,5,5,5
Mo,0.59,4912.00,2896.00,10.22,95.94,1.30,684.90,96.00,9.40,4.80,0.25,138.00,17.30,36.00,590.40,2.16,42,5,6,6
Tc,0.56,4538.00,2477.00,11.50,98.00,1.27,702.00,70.00,8.50,8.00,0.24,50.60,0.00,23.00,502.00,1.90,43,5,7,7
Ru,0.62,4425.00,2610.00,12.37,101.07,1.25,711.00,110.00,8.30,6.40,0.24,117.00,14.90,25.52,567.77,2.20,44,5,8,3
Rh,0.67,3970.00,2236.00,12.41,102.91,1.25,720.00,120.00,8.30,8.20,0.24,150.00,23.00,21.76,495.39,2.28,45,5,9,3
Pd,0.64,3240.00,1825.00,12.00,106.42,1.28,805.00,60.00,8.90,11.80,0.24,71.80,10.00,16.74,393.30,2.20,46,5,10,2
Ag,1.15,2436.00,1235.08,10.50,107.87,1.34,731.00,125.70,10.30,18.90,0.23,429.00,62.90,11.30,250.63,1.93,47,5,11,1
Cd,0.95,1040.00,594.26,8.65,112.41,1.41,867.70,0.00,13.10,30.80,0.23,96.80,14.70,6.07,99.87,1.69,48,5,12,2
La,1.16,3737.00,1191.00,6.15,138.91,1.25,538.10,50.00,20.73,5.20,0.19,13.50,1.90,11.30,399.57,1.10,57,6,3,3
Hf,0.83,4875.00,2504.00,13.31,178.49,1.44,642.00,0.00,13.60,5.90,0.14,23.00,3.40,21.76,661.07,1.30,72,6,4,4
Ta,0.64,5730.00,3293.00,16.65,180.95,1.34,761.00,60.00,10.90,6.30,0.14,57.50,8.10,36.00,737.00,1.50,73,6,5,5
W,0.60,5825.00,3695.00,19.30,183.85,1.30,770.00,60.00,9.53,4.50,0.13,174.00,18.20,35.40,422.58,2.36,74,6,6,6
Re,0.53,5870.00,3455.00,21.00,186.21,1.28,760.00,14.00,8.85,6.20,0.14,47.90,5.80,33.05,707.10,1.90,75,6,7,7
Os,0.63,5300.00,3300.00,22.60,190.20,1.26,840.00,110.00,8.49,5.10,0.13,87.60,12.30,29.29,627.60,2.20,76,6,8,4
Ir,0.63,4700.00,2720.00,22.60,192.22,1.27,880.00,150.00,8.54,6.40,0.13,147.00,21.30,26.36,563.58,2.20,77,6,9,4
Pt,0.63,4100.00,2042.10,21.45,195.08,1.30,870.00,205.30,9.10,8.80,0.13,71.60,9.40,19.66,510.45,2.28,78,6,10,4
Au,0.85,3130.00,1337.58,19.30,196.97,1.34,890.10,222.74,10.20,14.20,0.13,317.00,48.80,12.36,324.43,2.54,79,6,11,3
Hg,1.02,629.88,234.31,13.55,200.59,1.49,1007.00,0.00,14.82,49.00,0.14,8.34,1.00,2.29,59.30,2.00,80,6,12,2
Ce,1.14,3715.00,1071.00,6.77,140.12,1.65,527.80,50.00,20.67,5.20,0.19,11.40,1.40,9.20,313.80,1.12,58,6,3,3
Pr,1.13,3785.00,1204.00,6.77,140.91,1.65,523.00,50.00,20.80,5.40,0.19,12.50,1.50,10.04,332.63,1.13,59,6,3,3
Nd,1.29,3347.00,1294.00,7.01,144.24,1.64,530.00,50.00,20.60,6.90,0.19,16.50,1.60,10.88,283.68,1.14,60,6,3,3
Pm,1.09,3273.00,1315.00,7.22,145.00,1.63,535.00,50.00,22.39,0.00,0.19,17.90,2.00,7.70,290.00,1.13,61,6,3,3
Sm,1.08,2067.00,1347.00,2.75,150.36,1.62,543.00,50.00,19.95,0.00,0.20,13.30,1.10,11.09,191.63,1.17,62,6,3,3
Eu,1.07,1800.00,1095.00,5.24,151.97,1.85,547.00,50.00,28.90,41.00,0.18,13.90,1.10,10.46,175.73,1.20,63,6,3,3
Gd,1.05,3545.00,1585.00,7.90,157.25,1.61,592.00,50.00,19.90,-2.00,0.24,10.60,0.80,15.48,311.71,1.20,64,6,3,3
Tb,1.18,3500.00,1629.00,8.23,158.93,1.59,564.00,50.00,19.20,9.40,0.18,11.10,0.90,10.80,295.00,1.20,65,6,3,3
Dy,1.03,2840.00,1685.00,8.55,162.50,1.59,572.00,50.00,19.00,9.60,0.17,10.70,1.10,11.06,230.00,1.22,66,6,3,3
Ho,1.02,2968.00,1747.00,8.80,164.93,1.58,581.00,50.00,18.70,9.80,0.17,16.20,1.10,17.15,251.04,1.23,67,6,3,3
Er,1.00,3140.00,1802.00,9.07,167.26,1.57,589.00,50.00,18.40,9.40,0.17,14.30,1.20,17.15,292.88,1.24,68,6,3,3
Tm,1.09,2223.00,1818.00,9.32,168.93,1.56,596.00,50.00,18.10,12.00,0.16,16.80,1.30,16.80,191.00,1.25,69,6,3,3
Yb,0.99,1469.00,1092.00,6.97,173.04,1.70,603.00,50.00,24.79,25.10,0.15,34.90,3.70,7.70,128.00,1.10,70,6,3,3
Lu,0.98,3668.00,1936.00,9.84,174.97,1.56,524.00,50.00,17.78,8.20,0.15,16.40,1.50,18.60,355.00,1.27,71,6,3,3